Round,GAT_FedMH,GAT_FedMH_incremental,GAT_FedAvg,GAT_FedAvg_incremental,GAT_FedSem_FT,GAT_FedSem_FT_incremental,GAT_FedMatch_FT,GAT_FedMatch_FT_incremental,GAT_FLwF,GAT_FLwF_incremental
22,0.2401960784313725,1.0,0.784313725490196,1.0,0.7378151260504201,1.0,0.8246247464503043,1.0,0.8322064457967095,1.0
23,0.2401960784313725,1.0,0.7895424836601307,1.0,0.7396889790398918,1.0,0.7934851359898798,1.0,0.75426944971537,1.0
24,0.2401960784313725,1.0,0.796078431372549,1.0,0.7640733712839974,1.0,0.8246247464503043,1.0,0.8563894523326573,1.0
25,0.2401960784313725,1.0,0.8905631218004443,1.0,0.8173476287066552,1.0,0.8549019607843137,1.0,0.75426944971537,1.0
26,0.2401960784313725,1.0,0.8905631218004443,1.0,0.7645173453996984,1.0,0.7860644257703082,1.0,0.7426470588235294,1.0
27,0.2401960784313725,1.0,0.8905631218004443,1.0,0.7640733712839974,1.0,0.8563894523326573,1.0,0.796078431372549,1.0
28,0.2401960784313725,1.0,0.8549019607843137,1.0,0.7704728950403691,1.0,0.8563894523326573,1.0,0.75426944971537,1.0
29,0.2401960784313725,1.0,0.8549019607843137,1.0,0.819964349376114,1.0,0.8246247464503043,1.0,0.796078431372549,1.0
30,0.2401960784313725,1.0,0.8549019607843137,1.0,0.7704728950403691,1.0,0.8172946597994036,1.0,0.75426944971537,1.0
31,0.2401960784313725,0.3333333333333333,0.8905631218004443,0.3333333333333333,0.7704728950403691,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.75426944971537,0.3333333333333333
32,0.2401960784313725,0.3333333333333333,0.8549019607843137,0.3333333333333333,0.7704728950403691,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.8563894523326573,0.3333333333333333
33,0.2401960784313725,0.3333333333333333,0.9019607843137256,0.3333333333333333,0.8210784313725491,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.75426944971537,0.3333333333333333
34,0.2401960784313725,0.3333333333333333,0.937621945329856,0.3333333333333333,0.7704728950403691,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.75426944971537,0.3333333333333333
35,0.2401960784313725,0.3333333333333333,0.8905631218004443,1.0,0.819964349376114,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.75426944971537,0.7333333333333334
36,0.2401960784313725,0.3333333333333333,0.8905631218004443,0.7333333333333334,0.8549019607843137,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.7719165085388995,1.0
37,0.2401960784313725,0.3333333333333333,0.8905631218004443,0.7333333333333334,0.8210784313725491,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.75426944971537,0.7333333333333334
38,0.2401960784313725,0.3333333333333333,0.9152941176470588,0.7333333333333334,0.8503478810879191,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.796078431372549,0.7333333333333334
39,0.2401960784313725,0.3333333333333333,0.8905631218004443,1.0,0.8210784313725491,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.904008499951705,0.7333333333333334
40,0.2401960784313725,0.3333333333333333,0.9215686274509804,0.7333333333333334,0.8250980392156864,0.7333333333333334,0.2401960784313725,0.3333333333333333,0.7934851359898798,0.7333333333333334
41,,0.1,,0.1,,0.125,,0.1,,0.1
42,,0.1,,0.1,,0.125,,0.1,,0.1
43,,0.1,,0.1,,0.125,,0.1,,0.375
44,,0.1,,0.375,,0.125,,0.1,,0.125
45,,0.1,,0.125,,0.125,,0.1,,0.125
46,,0.1,,0.125,,0.0,,0.1,,0.375
47,,0.1,,0.375,,0.0,,0.1,,0.375
48,,0.1,,0.375,,0.0,,0.1,,0.16666666666666666
49,,0.1,,0.375,,0.0,,0.1,,0.375
50,,0.1,,0.375,,0.1666666666666666,,0.1,,0.375
51,,0.3333333333333333,,0.2,,0.2,,0.3333333333333333,,0.0
52,,0.3333333333333333,,0.2,,0.7333333333333334,,0.3333333333333333,,0.2
53,,0.3333333333333333,,0.2,,1.0,,0.3333333333333333,,0.2
54,,0.3333333333333333,,0.3333333333333333,,1.0,,0.3333333333333333,,0.0
55,,0.3333333333333333,,0.3333333333333333,,1.0,,0.3333333333333333,,0.2
56,,0.3333333333333333,,0.3333333333333333,,0.8333333333333333,,0.3333333333333333,,0.2
57,,0.3333333333333333,,0.3333333333333333,,1.0,,0.3333333333333333,,0.2
58,,0.3333333333333333,,0.3333333333333333,,0.5833333333333333,,0.3333333333333333,,0.3333333333333333
